NAID,doc_type,model,prompt,CER
28992015,Summary Table,Baseline OCR,—,0.3098591549295774
28973130,Memo,Baseline OCR,—,0.0512645249487354
28997059,Image/Map,Baseline OCR,—,1.0
28982089,Memo,Baseline OCR,—,0.0564334085778781
28974641,Form,Baseline OCR,—,0.05
28989706,Memo,Baseline OCR,—,0.0802919708029197
28993832,Form,Baseline OCR,—,0.6957862281603289
29000943,Form,Baseline OCR,—,0.4459459459459459
28921378,Summary Table,Baseline OCR,—,0.062340316811446
28992946,Form,Baseline OCR,—,0.2222906403940886
28976636,Article,Baseline OCR,—,0.7028235294117647
29000999,Image/Map,Baseline OCR,—,1.0
28970953,Form,Baseline OCR,—,0.0788113695090439
28966961,Form,Baseline OCR,—,0.1771700356718192
28988775,Memo,Baseline OCR,—,1.0
28945497,Form,Baseline OCR,—,0.0729632945389436
28968442,Others,Baseline OCR,—,0.017094017094017
28995196,Image/Map,Baseline OCR,—,1.0
28974079,Memo,Baseline OCR,—,0.1713848508033665
28991628,Memo,Baseline OCR,—,0.0201680672268907
28984715,Form,Baseline OCR,—,0.7008086253369272
28974853,Form,Baseline OCR,—,0.7529107373868047
28947331,Memo,Baseline OCR,—,0.4722792607802875
28980153,Article,Baseline OCR,—,0.0545246931201827
28934561,Form,Baseline OCR,—,0.0073298429319371
28977491,Form,Baseline OCR,—,0.7402101241642789
28979792,Memo,Baseline OCR,—,0.4251012145748988
28984139,Form,Baseline OCR,—,0.7402597402597403
28994552,Form,Baseline OCR,—,0.6912442396313364
29000491,Form,Baseline OCR,—,1.0
28986666,Form,Baseline OCR,—,0.2764705882352941
28974530,Form,Baseline OCR,—,0.7184343434343434
28996954,Article,Baseline OCR,—,0.6979691025863566
28974433,Form,Baseline OCR,—,0.1120481927710843
28929660,Summary Table,Baseline OCR,—,0.1049949031600407
28937364,Memo,Baseline OCR,—,0.004019651630192
28992749,Form,Baseline OCR,—,0.007910349373764
28967347,Form,Baseline OCR,—,0.0165441176470588
28991590,Form,Baseline OCR,—,0.7228144989339019
28944238,Image/Map,Baseline OCR,—,0.0588235294117647
28972565,Memo,Baseline OCR,—,0.0329268292682926
28977736,Form,Baseline OCR,—,0.1352201257861635
28930868,Memo,Baseline OCR,—,0.0210045662100456
28976751,Memo,Baseline OCR,—,0.0856123662306777
28957510,Form,Baseline OCR,—,0.1057542768273717
28932150,Form,Baseline OCR,—,0.1020211742059672
28967725,Form,Baseline OCR,—,0.1134328358208955
28942941,Form,Baseline OCR,—,0.0721343873517786
28937540,Form,Baseline OCR,—,0.2669683257918552
28943901,Form,Baseline OCR,—,0.0290964777947932
28939621,Memo,Baseline OCR,—,0.0301700493691716
28942727,Form,Baseline OCR,—,0.1164912280701754
28931705,Memo,Baseline OCR,—,0.1399317406143344
28978074,Memo,Baseline OCR,—,0.1070780399274047
28951559,Form,Baseline OCR,—,0.0136150234741784
28971645,Form,Baseline OCR,—,0.141083988415391
28981950,Form,Baseline OCR,—,0.2015915119363395
28968489,Form,Baseline OCR,—,0.7524366471734892
28971456,Memo,Baseline OCR,—,0.9960106382978724
28964100,Article,Baseline OCR,—,0.7388681413386958
28937600,Memo,Baseline OCR,—,0.0814332247557003
28967827,Form,Baseline OCR,—,0.0825358851674641
28992103,Form,Baseline OCR,—,0.3791079812206572
28993442,Form,Baseline OCR,—,0.173140223831468
28950512,Memo,Baseline OCR,—,0.0685483870967741
28944179,Memo,Baseline OCR,—,0.7128712871287128
28973402,Form,Baseline OCR,—,0.0
28978398,Image/Map,Baseline OCR,—,0.6741071428571429
28961780,Memo,Baseline OCR,—,0.0588235294117647
28944035,Memo,Baseline OCR,—,0.0833333333333333
28998146,Form,Baseline OCR,—,0.0507131537242472
28934472,Form,Baseline OCR,—,0.0688729874776386
28936287,Memo,Baseline OCR,—,0.0239043824701195
28939248,Article,Baseline OCR,—,0.00600764609503
28940961,Form,Baseline OCR,—,0.0906976744186046
28977130,Form,Baseline OCR,—,0.0145530145530145
28973982,Form,Baseline OCR,—,0.0709459459459459
28932295,Article,Baseline OCR,—,0.4851968956596723
28997081,Form,Baseline OCR,—,0.0329041487839771
28984028,Image/Map,Baseline OCR,—,0.896551724137931
28984612,Memo,Baseline OCR,—,0.0411214953271028
28933052,Form,Baseline OCR,—,0.0201674277016742
28992561,Memo,Baseline OCR,—,1.0
28997278,Form,Baseline OCR,—,0.0334728033472803
29000562,Memo,Baseline OCR,—,0.0056306306306306
28992462,Form,Baseline OCR,—,0.1462295081967213
28987698,Form,Baseline OCR,—,0.1891045710707576
28969412,Form,Baseline OCR,—,0.0850622406639004
28941795,Form,Baseline OCR,—,0.2043956043956044
28960409,Form,Baseline OCR,—,1.0
28938572,Memo,Baseline OCR,—,0.0217917675544794
28930793,Memo,Baseline OCR,—,0.0701001430615164
28997563,Image/Map,Baseline OCR,—,0.0584415584415584
28952995,Form,Baseline OCR,—,0.0589318600368324
28952481,Memo,Baseline OCR,—,0.3035714285714285
28955301,Memo,Baseline OCR,—,0.0225563909774436
28965919,Form,Baseline OCR,—,0.1386522075910147
28978886,Form,Baseline OCR,—,0.1991803278688524
28930330,Memo,Baseline OCR,—,0.0627530364372469
28991349,Form,Baseline OCR,—,0.2015470562956596
28992015,Summary Table,GPT-4o,Expert,0.3427230046948357
28973130,Memo,GPT-4o,Expert,0.0341997264021887
28997059,Image/Map,GPT-4o,Expert,1.0
28982089,Memo,GPT-4o,Expert,0.0768929169303991
28974641,Form,GPT-4o,Expert,0.049025202092249164
28989706,Memo,GPT-4o,Expert,0.0559610705596107
28993832,Form,GPT-4o,Expert,0.13657004161380537
29000943,Form,GPT-4o,Expert,0.243993993993994
28921378,Summary Table,GPT-4o,Expert,0.1616946696092649
28992946,Form,GPT-4o,Expert,0.14602587800369685
28976636,Article,GPT-4o,Expert,0.6807058823529412
29000999,Image/Map,GPT-4o,Expert,1.0
28970953,Form,GPT-4o,Expert,0.06895037329819934
28966961,Form,GPT-4o,Expert,0.2021403091557669
28988775,Memo,GPT-4o,Expert,1.0
28945497,Form,GPT-4o,Expert,0.0441659206207102
28968442,Others,GPT-4o,Expert,0.012543418022870035
28995196,Image/Map,GPT-4o,Expert,1.0
28974079,Memo,GPT-4o,Expert,0.1533127889060092
28991628,Memo,GPT-4o,Expert,0.0333477928213908
28984715,Form,GPT-4o,Expert,0.09876543209876538
28974853,Form,GPT-4o,Expert,0.08193186718413108
28947331,Memo,GPT-4o,Expert,0.45242984257357977
28980153,Article,GPT-4o,Expert,0.0535816618911174
28934561,Form,GPT-4o,Expert,0.0041928721174004
28977491,Form,GPT-4o,Expert,0.04342273307790543
28979792,Memo,GPT-4o,Expert,0.295805350622252
28984139,Form,GPT-4o,Expert,0.08055957549445243
28994552,Form,GPT-4o,Expert,0.20587576551641254
29000491,Form,GPT-4o,Expert,1.0
28986666,Form,GPT-4o,Expert,0.05415733032166197
28974530,Form,GPT-4o,Expert,0.06413927447292664
28996954,Article,GPT-4o,Expert,0.45889301580667946
28974433,Form,GPT-4o,Expert,0.0804216403873977
28929660,Summary Table,GPT-4o,Expert,0.08800543662928983
28937364,Memo,GPT-4o,Expert,0.0008936550491509999
28992749,Form,GPT-4o,Expert,0.002636783124588
28967347,Form,GPT-4o,Expert,0.014705882352941133
28991590,Form,GPT-4o,Expert,0.037593984962406006
28944238,Image/Map,GPT-4o,Expert,0.061542131635589505
28972565,Memo,GPT-4o,Expert,0.0257671818915874
28977736,Form,GPT-4o,Expert,0.1347062992698044
28930868,Memo,GPT-4o,Expert,0.0136986301369863
28976751,Memo,GPT-4o,Expert,0.1383273880301228
28957510,Form,GPT-4o,Expert,0.009562150067545733
28932150,Form,GPT-4o,Expert,0.06501238218835932
28967725,Form,GPT-4o,Expert,0.07562189054726363
28942941,Form,GPT-4o,Expert,0.1343234323432343
28937540,Form,GPT-4o,Expert,0.259765621432363
28943901,Form,GPT-4o,Expert,0.009160347981511732
28939621,Memo,GPT-4o,Expert,0.0217590053026147
28942727,Form,GPT-4o,Expert,0.10409356725146192
28931705,Memo,GPT-4o,Expert,0.10125142207053467
28978074,Memo,GPT-4o,Expert,0.0965145993218434
28951559,Form,GPT-4o,Expert,0.0050290743360049996
28971645,Form,GPT-4o,Expert,0.09676472799655948
28981950,Form,GPT-4o,Expert,0.19098016631873474
28968489,Form,GPT-4o,Expert,0.10481852814677724
28971456,Memo,GPT-4o,Expert,
28964100,Article,GPT-4o,Expert,0.5122859610542371
28937600,Memo,GPT-4o,Expert,0.07166123778501626
28967827,Form,GPT-4o,Expert,0.04761904761904756
28992103,Form,GPT-4o,Expert,0.3615023474178403
28993442,Form,GPT-4o,Expert,0.0528856703971911
28950512,Memo,GPT-4o,Expert,0.03933460023685583
28944179,Memo,GPT-4o,Expert,0.7194719471947195
28973402,Form,GPT-4o,Expert,0.0220820189274447
28978398,Image/Map,GPT-4o,Expert,0.6277487109493479
28961780,Memo,GPT-4o,Expert,0.0524984187223276
28944035,Memo,GPT-4o,Expert,0.046969696969696904
28998146,Form,GPT-4o,Expert,0.04889362205656134
28934472,Form,GPT-4o,Expert,0.010733452593917668
28936287,Memo,GPT-4o,Expert,0.019241786993840368
28939248,Article,GPT-4o,Expert,0.0049153468050245
28940961,Form,GPT-4o,Expert,0.0472868217054263
28977130,Form,GPT-4o,Expert,0.020101371590857533
28973982,Form,GPT-4o,Expert,0.06813063063063057
28932295,Article,GPT-4o,Expert,0.34118999712561077
28997081,Form,GPT-4o,Expert,0.0
28984028,Image/Map,GPT-4o,Expert,0.8986563175044852
28984612,Memo,GPT-4o,Expert,0.0210890777463015
28933052,Form,GPT-4o,Expert,0.009833971902937333
28992561,Memo,GPT-4o,Expert,
28997278,Form,GPT-4o,Expert,0.024036743225398366
29000562,Memo,GPT-4o,Expert,0.003006388575723367
28992462,Form,GPT-4o,Expert,0.054863387978142
28987698,Form,GPT-4o,Expert,0.1300251256281407
28969412,Form,GPT-4o,Expert,0.05325034578146607
28941795,Form,GPT-4o,Expert,0.16263736263736261
28960409,Form,GPT-4o,Expert,1.0
28938572,Memo,GPT-4o,Expert,0.015334947538337335
28930793,Memo,GPT-4o,Expert,0.043395326657129196
28997563,Image/Map,GPT-4o,Expert,0.009116888764638233
28952995,Form,GPT-4o,Expert,0.0497237569060773
28952481,Memo,GPT-4o,Expert,0.29506802721088426
28955301,Memo,GPT-4o,Expert,0.05000000000000001
28965919,Form,GPT-4o,Expert,0.014975471210947533
28978886,Form,GPT-4o,Expert,0.1890710382513661
28930330,Memo,GPT-4o,Expert,0.0445344129554655
28991349,Form,GPT-4o,Expert,0.13995129637587733
28992015,Summary Table,GPT-4o,All,0.3646322378716744
28973130,Memo,GPT-4o,All,0.03602371181030547
28997059,Image/Map,GPT-4o,All,1.0
28982089,Memo,GPT-4o,All,0.07882328920122315
28974641,Form,GPT-4o,All,0.05440334475507767
28989706,Memo,GPT-4o,All,0.05217626385509597
28993832,Form,GPT-4o,All,0.20947169235428173
29000943,Form,GPT-4o,All,0.2461211211211211
28921378,Summary Table,GPT-4o,All,0.09339714143148009
28992946,Form,GPT-4o,All,0.1466420209488601
28976636,Article,GPT-4o,All,0.6739869281045752
29000999,Image/Map,GPT-4o,All,1.0
28970953,Form,GPT-4o,All,0.06727654626803216
28966961,Form,GPT-4o,All,0.23569824283260665
28988775,Memo,GPT-4o,All,1.0
28945497,Form,GPT-4o,All,0.046652740475479904
28968442,Others,GPT-4o,All,0.012683599408278477
28995196,Image/Map,GPT-4o,All,1.0
28974079,Memo,GPT-4o,All,0.1601601532299446
28991628,Memo,GPT-4o,All,0.032794511347500666
28984715,Form,GPT-4o,All,0.14090599738706736
28974853,Form,GPT-4o,All,0.22782808681903116
28947331,Memo,GPT-4o,All,0.46680355920602323
28980153,Article,GPT-4o,All,0.05300812411527237
28934561,Form,GPT-4o,All,0.007808489311368478
28977491,Form,GPT-4o,All,0.21998722860791822
28979792,Memo,GPT-4o,All,0.3092200992081771
28984139,Form,GPT-4o,All,0.06532647285314415
28994552,Form,GPT-4o,All,0.2189788072122827
29000491,Form,GPT-4o,All,1.0
28986666,Form,GPT-4o,All,0.06148436457031682
28974530,Form,GPT-4o,All,0.17618299889838293
28996954,Article,GPT-4o,All,0.43277081630845315
28974433,Form,GPT-4o,All,0.07609840170692228
28929660,Summary Table,GPT-4o,All,0.18492316578211876
28937364,Memo,GPT-4o,All,0.0002978850163836667
28992749,Form,GPT-4o,All,0.0027832710759540004
28967347,Form,GPT-4o,All,0.012867647058823487
28991590,Form,GPT-4o,All,0.025092427143881612
28944238,Image/Map,GPT-4o,All,0.09770992327695016
28972565,Memo,GPT-4o,All,0.035181095531399406
28977736,Form,GPT-4o,All,0.1331375201428784
28930868,Memo,GPT-4o,All,0.027463290627570226
28976751,Memo,GPT-4o,All,0.1432157484476152
28957510,Form,GPT-4o,All,0.01076146912799829
28932150,Form,GPT-4o,All,0.0701516539947816
28967725,Form,GPT-4o,All,0.08723051409618571
28942941,Form,GPT-4o,All,0.07623762376237622
28937540,Form,GPT-4o,All,0.2654649311679064
28943901,Form,GPT-4o,All,0.013917680289541422
28939621,Memo,GPT-4o,All,0.026452124093374732
28942727,Form,GPT-4o,All,0.09996101364522413
28931705,Memo,GPT-4o,All,0.11480046020452102
28978074,Memo,GPT-4o,All,0.08938663201352072
28951559,Form,GPT-4o,All,0.003090785269003055
28971645,Form,GPT-4o,All,0.13230342946804285
28981950,Form,GPT-4o,All,0.18225171711921118
28968489,Form,GPT-4o,All,0.2662591790580931
28971456,Memo,GPT-4o,All,
28964100,Article,GPT-4o,All,0.49136816376107667
28937600,Memo,GPT-4o,All,0.07962359753890697
28967827,Form,GPT-4o,All,0.05322933771209628
28992103,Form,GPT-4o,All,0.3702399582681273
28993442,Form,GPT-4o,All,0.050471801623875295
28950512,Memo,GPT-4o,All,0.03850835880911063
28944179,Memo,GPT-4o,All,0.6985698569856985
28973402,Form,GPT-4o,All,0.028391167192428943
28978398,Image/Map,GPT-4o,All,0.5852092205849482
28961780,Memo,GPT-4o,All,0.06915454353784521
28944035,Memo,GPT-4o,All,0.04932659932659925
28998146,Form,GPT-4o,All,0.04889362205656134
28934472,Form,GPT-4o,All,0.011031604054859845
28936287,Memo,GPT-4o,All,0.024378000854234187
28939248,Article,GPT-4o,All,0.005461496450027244
28940961,Form,GPT-4o,All,0.05658914728682164
28977130,Form,GPT-4o,All,0.02538962533446626
28973982,Form,GPT-4o,All,0.07638888888888885
28932295,Article,GPT-4o,All,0.31132828718341793
28997081,Form,GPT-4o,All,0.0
28984028,Image/Map,GPT-4o,All,0.8572641052923268
28984612,Memo,GPT-4o,All,0.020943549293915332
28933052,Form,GPT-4o,All,0.012196897876919834
28992561,Memo,GPT-4o,All,
28997278,Form,GPT-4o,All,0.03856893885654175
29000562,Memo,GPT-4o,All,0.008879559458150478
28992462,Form,GPT-4o,All,0.05151183970856096
28987698,Form,GPT-4o,All,0.14127783626518386
28969412,Form,GPT-4o,All,0.056247118487782334
28941795,Form,GPT-4o,All,0.1665445665445665
28960409,Form,GPT-4o,All,1.0
28938572,Memo,GPT-4o,All,0.015065913370998088
28930793,Memo,GPT-4o,All,0.042918454935622276
28997563,Image/Map,GPT-4o,All,0.02130380310419448
28952995,Form,GPT-4o,All,0.031512175158583955
28952481,Memo,GPT-4o,All,0.2976190476190476
28955301,Memo,GPT-4o,All,0.09947875806599804
28965919,Form,GPT-4o,All,0.017385317152939103
28978886,Form,GPT-4o,All,0.18816029143897992
28930330,Memo,GPT-4o,All,0.04475933423301837
28991349,Form,GPT-4o,All,0.13302774196628941
28992015,Summary Table,GPT-4o Mini,Expert,0.964747356051704
28973130,Memo,GPT-4o Mini,Expert,0.0353397172822617
28997059,Image/Map,GPT-4o Mini,Expert,1.0
28982089,Memo,GPT-4o Mini,Expert,0.055769686856433
28974641,Form,GPT-4o Mini,Expert,0.047051898454656405
28989706,Memo,GPT-4o Mini,Expert,0.0623981291191269
28993832,Form,GPT-4o Mini,Expert,0.5773914579395051
29000943,Form,GPT-4o Mini,Expert,0.42567567567567566
28921378,Summary Table,GPT-4o Mini,Expert,0.05694493372419287
28992946,Form,GPT-4o Mini,Expert,0.168617785993017
28976636,Article,GPT-4o Mini,Expert,0.6753725490196079
29000999,Image/Map,GPT-4o Mini,Expert,1.0
28970953,Form,GPT-4o Mini,Expert,0.07875439604353211
28966961,Form,GPT-4o Mini,Expert,0.13476020610384462
28988775,Memo,GPT-4o Mini,Expert,1.0
28945497,Form,GPT-4o Mini,Expert,0.05282005371530884
28968442,Others,GPT-4o Mini,Expert,0.014260625219529302
28995196,Image/Map,GPT-4o Mini,Expert,1.0
28974079,Memo,GPT-4o Mini,Expert,0.16339078004082982
28991628,Memo,GPT-4o Mini,Expert,0.0135593220338983
28984715,Form,GPT-4o Mini,Expert,0.6179609962713183
28974853,Form,GPT-4o Mini,Expert,0.5804225959465287
28947331,Memo,GPT-4o Mini,Expert,0.44969199178644753
28980153,Article,GPT-4o Mini,Expert,0.8171365726854628
28934561,Form,GPT-4o Mini,Expert,0.005590496156533867
28977491,Form,GPT-4o Mini,Expert,0.5357598978288634
28979792,Memo,GPT-4o Mini,Expert,0.33934410352413485
28984139,Form,GPT-4o Mini,Expert,0.6618357487922705
28994552,Form,GPT-4o Mini,Expert,0.6674463937621832
29000491,Form,GPT-4o Mini,Expert,1.0
28986666,Form,GPT-4o Mini,Expert,0.20869490947973615
28974530,Form,GPT-4o Mini,Expert,0.6171875
28996954,Article,GPT-4o Mini,Expert,0.472552783109405
28974433,Form,GPT-4o Mini,Expert,0.0421686746987951
28929660,Summary Table,GPT-4o Mini,Expert,0.09480122324159017
28937364,Memo,GPT-4o Mini,Expert,0.0
28992749,Form,GPT-4o Mini,Expert,0.002636783124588
28967347,Form,GPT-4o Mini,Expert,0.006127450980392067
28991590,Form,GPT-4o Mini,Expert,0.6612490213995653
28944238,Image/Map,GPT-4o Mini,Expert,0.12653270674661046
28972565,Memo,GPT-4o Mini,Expert,0.031540158870255935
28977736,Form,GPT-4o Mini,Expert,0.1192315109847017
28930868,Memo,GPT-4o Mini,Expert,0.009420229694202267
28976751,Memo,GPT-4o Mini,Expert,0.084423305588585
28957510,Form,GPT-4o Mini,Expert,0.019158418427831402
28932150,Form,GPT-4o Mini,Expert,0.08002581477896092
28967725,Form,GPT-4o Mini,Expert,0.0805970149253731
28942941,Form,GPT-4o Mini,Expert,0.03960396039603956
28937540,Form,GPT-4o Mini,Expert,0.22928988359462096
28943901,Form,GPT-4o Mini,Expert,0.011735220334908399
28939621,Memo,GPT-4o Mini,Expert,0.0215761565185591
28942727,Form,GPT-4o Mini,Expert,0.11040935672514618
28931705,Memo,GPT-4o Mini,Expert,0.1183162684869169
28978074,Memo,GPT-4o Mini,Expert,0.09981653511362337
28951559,Form,GPT-4o Mini,Expert,0.0051772139132107665
28971645,Form,GPT-4o Mini,Expert,0.1146395045087537
28981950,Form,GPT-4o Mini,Expert,0.191989835636197
28968489,Form,GPT-4o Mini,Expert,0.5242814927854298
28971456,Memo,GPT-4o Mini,Expert,
28964100,Article,GPT-4o Mini,Expert,0.6506029909332286
28937600,Memo,GPT-4o Mini,Expert,0.0781758957654723
28967827,Form,GPT-4o Mini,Expert,0.2615670097587675
28992103,Form,GPT-4o Mini,Expert,0.357981220657277
28993442,Form,GPT-4o Mini,Expert,0.10796576695194203
28950512,Memo,GPT-4o Mini,Expert,0.0607287449392712
28944179,Memo,GPT-4o Mini,Expert,0.712871287128713
28973402,Form,GPT-4o Mini,Expert,0.0
28978398,Image/Map,GPT-4o Mini,Expert,0.5649803374803374
28961780,Memo,GPT-4o Mini,Expert,0.0531309297912713
28944035,Memo,GPT-4o Mini,Expert,0.05353535353535349
28998146,Form,GPT-4o Mini,Expert,0.0444444444444444
28934472,Form,GPT-4o Mini,Expert,0.011329755515801967
28936287,Memo,GPT-4o Mini,Expert,0.0219560878243512
28939248,Article,GPT-4o Mini,Expert,0.005092634618942766
28940961,Form,GPT-4o Mini,Expert,0.0627906976744186
28977130,Form,GPT-4o Mini,Expert,0.005546168917656867
28973982,Form,GPT-4o Mini,Expert,0.0658783783783783
28932295,Article,GPT-4o Mini,Expert,0.4317332566829548
28997081,Form,GPT-4o Mini,Expert,0.0014306151645207
28984028,Image/Map,GPT-4o Mini,Expert,0.8620689655172414
28984612,Memo,GPT-4o Mini,Expert,0.020348457548991002
28933052,Form,GPT-4o Mini,Expert,0.012849998846425398
28992561,Memo,GPT-4o Mini,Expert,
28997278,Form,GPT-4o Mini,Expert,0.024027159334612067
29000562,Memo,GPT-4o Mini,Expert,0.0022547914317925
28992462,Form,GPT-4o Mini,Expert,0.0977049180327868
28987698,Form,GPT-4o Mini,Expert,0.1233562930494677
28969412,Form,GPT-4o Mini,Expert,0.0653526970954356
28941795,Form,GPT-4o Mini,Expert,0.19267399267399266
28960409,Form,GPT-4o Mini,Expert,1.0
28938572,Memo,GPT-4o Mini,Expert,0.011702986279257433
28930793,Memo,GPT-4o Mini,Expert,0.055793991416309
28997563,Image/Map,GPT-4o Mini,Expert,0.049855928034296136
28952995,Form,GPT-4o Mini,Expert,0.0361380309754551
28952481,Memo,GPT-4o Mini,Expert,0.3010204081632653
28955301,Memo,GPT-4o Mini,Expert,0.0175
28965919,Form,GPT-4o Mini,Expert,0.09734056287115923
28978886,Form,GPT-4o Mini,Expert,0.18879781420765027
28930330,Memo,GPT-4o Mini,Expert,0.0445344129554655
28991349,Form,GPT-4o Mini,Expert,0.14897579143389192
28992015,Summary Table,GPT-4o Mini,All,0.5657139074162957
28973130,Memo,GPT-4o Mini,All,0.03351573187414495
28997059,Image/Map,GPT-4o Mini,All,1.0
28982089,Memo,GPT-4o Mini,All,0.07506795614436204
28974641,Form,GPT-4o Mini,All,0.15062819869311864
28989706,Memo,GPT-4o Mini,All,0.0653226438142589
28993832,Form,GPT-4o Mini,All,0.5352932050744826
29000943,Form,GPT-4o Mini,All,0.4276776776776776
28921378,Summary Table,GPT-4o Mini,All,0.054645625542794146
28992946,Form,GPT-4o Mini,All,0.17902375573355236
28976636,Article,GPT-4o Mini,All,0.6778039215686275
29000999,Image/Map,GPT-4o Mini,All,1.0
28970953,Form,GPT-4o Mini,All,0.0755853842469803
28966961,Form,GPT-4o Mini,All,0.1315893777249306
28988775,Memo,GPT-4o Mini,All,1.0
28945497,Form,GPT-4o Mini,All,0.05267084452402265
28968442,Others,GPT-4o Mini,All,0.008939911561951723
28995196,Image/Map,GPT-4o Mini,All,1.0
28974079,Memo,GPT-4o Mini,All,0.1707248526813614
28991628,Memo,GPT-4o Mini,All,0.020709591960837104
28984715,Form,GPT-4o Mini,All,0.6495389844777664
28974853,Form,GPT-4o Mini,All,0.6620357834894973
28947331,Memo,GPT-4o Mini,All,0.471166554933896
28980153,Article,GPT-4o Mini,All,0.49321706054323694
28934561,Form,GPT-4o Mini,All,0.016149329824823776
28977491,Form,GPT-4o Mini,All,0.6453394669616322
28979792,Memo,GPT-4o Mini,All,0.3424830736966111
28984139,Form,GPT-4o Mini,All,0.6889154982660833
